"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.42678540693418e-08,1.17882800237827,0.461,0.324,0.000128535708138684,"14","Ergic1"
6.77831284565916e-08,2.18310621795055,0.343,0.177,0.000135566256913183,"14","Crip2"
7.86061007785267e-08,3.12431999820333,0.392,0.158,0.000157212201557053,"14","Asb2"
8.16254372459473e-08,1.15347911466054,0.539,0.408,0.000163250874491895,"14","Wfdc17"
8.44926185175378e-08,1.55942430778132,0.549,0.453,0.000168985237035076,"14","Ifit2"
1.04273732106652e-07,0.799563735879821,0.539,0.417,0.000208547464213305,"14","Gngt2"
1.20598772285231e-07,1.56937210626301,0.373,0.243,0.000241197544570462,"14","Pon3"
1.59137121291005e-07,2.30652986943327,0.382,0.232,0.00031827424258201,"14","Gas6"
1.59636763746043e-07,1.93109964122002,0.255,0.131,0.000319273527492085,"14","Sdc1"
1.89110870715891e-07,1.35150531007094,0.51,0.394,0.000378221741431782,"14","Mt1"
2.41769185387061e-07,3.53966394600538,0.373,0.206,0.000483538370774121,"14","Rnf150"
2.99161549308409e-07,2.71722633719604,0.265,0.087,0.000598323098616818,"14","Klra3"
3.1593977977327e-07,2.15257322606712,0.363,0.193,0.00063187955954654,"14","Mid1"
3.17727735403399e-07,1.39473457508562,0.343,0.197,0.000635455470806797,"14","Palld"
3.26456882673581e-07,1.33323051325627,0.559,0.426,0.000652913765347162,"14","Clic4"
3.31934656430474e-07,2.31617921297862,0.49,0.344,0.000663869312860948,"14","Dhrs3"
3.62928882305074e-07,3.64227408856527,0.471,0.388,0.000725857764610147,"14","Ubd"
3.653968615773e-07,1.19604336791113,0.412,0.272,0.0007307937231546,"14","Mfhas1"
4.77757830326351e-07,1.58657833280967,0.353,0.249,0.000955515660652701,"14","Zfp715"
4.98493855042007e-07,0.861918512317499,0.667,0.563,0.000996987710084014,"14","Itgb1"
6.22358727702966e-07,0.802113443901174,0.422,0.297,0.00124471745540593,"14","Ston2"
6.76776631119188e-07,0.905649405559128,0.49,0.356,0.00135355326223838,"14","Bcl2l1"
6.90789545510437e-07,1.38496175782403,0.412,0.306,0.00138157909102087,"14","Adcy9"
6.95015179909472e-07,1.50766561339355,0.569,0.461,0.00139003035981894,"14","Slc3a2"
7.03934470964384e-07,1.5763212002942,0.451,0.319,0.00140786894192877,"14","Ppp1r13b"
7.9798126073712e-07,0.627274123759489,0.333,0.189,0.00159596252147424,"14","Plpp1"
8.53255575305441e-07,2.46804228222395,0.402,0.259,0.00170651115061088,"14","Cdc42bpb"
