"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.61179333556763e-21,0.63038243727655,0.367,0.53,7.22358667113526e-18,"0","Ighv1-15"
3.70148335605978e-21,1.39504853906987,0.466,0.376,7.40296671211956e-18,"0","Cd83"
6.646413371408e-21,0.340972920171667,0.312,0.173,1.3292826742816e-17,"0","Plpp3"
2.20104499134013e-20,0.346845143857974,0.268,0.438,4.40208998268026e-17,"0","Gadd45gip1"
1.36513607015862e-19,0.323019178464617,0.375,0.306,2.73027214031723e-16,"0","Mrpl35"
2.57723022334956e-19,0.800909356858536,0.435,0.37,5.15446044669912e-16,"0","Zdhhc14"
9.90903047626718e-19,1.26256944361445,0.404,0.254,1.98180609525344e-15,"0","Iglc1"
1.1531353802772e-18,0.553737910534344,0.393,0.264,2.30627076055439e-15,"0","Cbfa2t3"
7.8424909532642e-18,1.79985140563517,0.329,0.221,1.56849819065284e-14,"0","Egr3"
6.02427660705452e-17,0.489718853424137,0.696,0.647,1.2048553214109e-13,"0","Smarca5"
1.88690495548226e-16,0.497469877237274,0.456,0.401,3.77380991096451e-13,"0","Prmt1"
2.3583517840898e-16,0.764425667798671,0.287,0.136,4.7167035681796e-13,"0","Ighv5-4"
6.26308203219859e-16,5.06749317484706,0.269,0.114,1.25261640643972e-12,"0","Iglv2"
1.55241707483495e-14,0.348825446292315,0.333,0.212,3.1048341496699e-11,"0","Ighv1-26"
4.55257539613952e-13,0.782900851881146,0.337,0.261,9.10515079227904e-10,"0","Ppm1l"
1.57626278303606e-12,0.366916364810486,0.512,0.447,3.15252556607213e-09,"0","Timm13"
3.61259770384215e-12,0.502479748005227,0.361,0.334,7.2251954076843e-09,"0","Znrd2"
9.71819313747258e-12,0.623998345597178,0.436,0.383,1.94363862749452e-08,"0","Mybbp1a"
2.01120749548526e-11,0.341968315410945,0.367,0.336,4.02241499097053e-08,"0","Gart"
2.52983541095428e-11,0.255201769492948,0.22,0.312,5.05967082190856e-08,"0","Itsn1"
2.59395881367919e-11,4.55234338021647,0.25,0.079,5.18791762735838e-08,"0","Ighv1-81"
3.71676129493215e-11,0.28358102231194,0.474,0.41,7.4335225898643e-08,"0","Atosa"
5.2104422574331e-11,1.86829613049159,0.287,0.148,1.04208845148662e-07,"0","Ighv1-72"
8.11886245233849e-11,0.498377851145777,0.389,0.361,1.6237724904677e-07,"0","Wdr75"
4.34419127700832e-10,0.443787330220012,0.333,0.261,8.68838255401663e-07,"0","Spata24"
4.62478513273453e-10,0.315356200838706,0.366,0.341,9.24957026546906e-07,"0","Carnmt1"
5.86356568938371e-10,0.300522111033866,0.65,0.612,1.17271313787674e-06,"0","Macroh2a1"
7.56661941667826e-10,3.32915326036623,0.273,0.219,1.51332388333565e-06,"0","Igkv14-126"
3.225858798213e-09,1.68799977965163,0.375,0.284,6.45171759642601e-06,"0","Gm56536"
6.31284159277202e-09,0.500180573503034,0.419,0.366,1.2625683185544e-05,"0","Blvrb"
8.34161060394045e-09,0.297816115716548,0.591,0.549,1.66832212078809e-05,"0","Nme1"
8.78262017780156e-09,0.333391870381194,0.553,0.518,1.75652403556031e-05,"0","Ddx21"
9.49030886456192e-09,0.474065643612144,0.357,0.343,1.89806177291238e-05,"0","Ddx39a"
1.47578889185513e-08,0.450815373429347,0.487,0.485,2.95157778371026e-05,"0","Maml3"
3.0811247458494e-08,0.467692147436724,0.371,0.485,6.1622494916988e-05,"0","Snhg1"
4.47272718155781e-08,0.291396582889671,0.71,0.7,8.94545436311561e-05,"0","Calr"
5.05753963823688e-08,3.26444112715724,0.27,0.11,0.000101150792764738,"0","Ighv3-6"
6.11174308675044e-08,0.492656185736112,0.408,0.374,0.000122234861735009,"0","Selenoh"
7.08889875719157e-08,0.403121075855682,0.38,0.373,0.000141777975143831,"0","Naa50"
1.22712027826848e-07,0.260386540556179,0.612,0.59,0.000245424055653696,"0","Hspe1"
5.74872984591468e-07,0.369861265333147,0.478,0.436,0.00114974596918294,"0","Noc2l"
6.89568298865658e-07,0.480390386979534,0.322,0.319,0.00137913659773132,"0","Ppih"
7.54305650633342e-07,0.250169738081341,0.473,0.469,0.00150861130126668,"0","Usp1"
7.59249988769762e-07,0.304426478903981,0.338,0.318,0.00151849997753952,"0","Prpf19"
1.06633709348952e-06,0.885123099523139,0.277,0.317,0.00213267418697904,"0","Igkv1-135"
4.84618859625431e-06,0.34496150550469,0.291,0.254,0.00969237719250863,"0","Fpgs"
5.93193212997624e-06,0.680403703904644,0.529,0.553,0.0118638642599525,"0","Cmtm7"
7.03175347365658e-06,0.28584709995261,0.331,0.322,0.0140635069473132,"0","Tomm40"
8.67536435934477e-06,0.61362273071079,0.296,0.282,0.0173507287186895,"0","Chek2"
9.84057784052218e-06,0.595661923015321,0.29,0.388,0.0196811556810444,"0","Pck2"
2.32139036130392e-05,0.442722226971364,0.216,0.265,0.0464278072260785,"0","Pltp"
